year,quarter,quarter_no,N,income_mean,income_median,income_gini,wealth_mean,wealth_median,wealth_gini
2017,Gotthelf,9,4211,65391,50910,0.462,698434,30156,0.936
2017,Iselin,10,9790,51600,44173,0.437,137154,10000,0.851
2017,St. Johann,11,10819,52890,42027,0.49,151139,8508,0.864
2017,Altstadt Kleinbasel,12,1586,62138,41962,0.546,286780,9591,0.905
2017,Clara,13,2432,50680,40137,0.471,139220,8430,0.862
2017,Wettstein,14,3413,79537,55521,0.517,373707,33876,0.862
2017,Hirzbrunnen,15,5419,60699,52717,0.411,184461,18864,0.825
2017,Rosental,16,3347,54543,44634,0.468,87336,3866,0.863
2017,Matthäus,17,8997,50786,38565,0.502,148639,5867,0.881
2017,Klybeck,18,3974,41569,36178,0.444,66050,2242,0.878
2017,Kleinhüningen,19,1557,45664,40315,0.423,76802,3415,0.857
2017,Riehen,20,11965,92348,63726,0.525,841152,60515,0.883
2017,Bettingen,30,626,129265,67289,0.652,2379097,108794,0.933
